block_num,token_x,token_y,sender,opt,opt_time,amount
4534934,STC::STC,FAI::FAI,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:48,1
4535105,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,add_liquidity,2022-03-05 09:52:59,"(1000000000000, 103828706354)"
4535127,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,add_liquidity,2022-03-05 09:54:38,"(6388082700988, 663266362926)"
4535135,STC::STC,FAI::FAI,0x3b990f9b6f9e6175e9f9535f9fa28f50,add_liquidity,2022-03-05 09:55:14,"(2889374341018, 300000000000)"
4535140,STC::STC,FAI::FAI,0x0d735c4ba0f540cbb287312f3e137596,add_liquidity,2022-03-05 09:55:50,"(1007873521252, 104646203880)"
4535143,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 09:56:04,"(5469927156025, 567935460460)"
4535146,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,add_liquidity,2022-03-05 09:56:18,"(16254536808596, 1687687529218)"
4535156,STC::STC,FAI::FAI,0x9749fb17f65fe5f5b83ded7b69436582,add_liquidity,2022-03-05 09:56:58,"(10996958741915, 1141800000000)"
4535188,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 09:59:48,"(3408084980417, 345663319382)"
4535191,STC::STC,FAI::FAI,0x3b990f9b6f9e6175e9f9535f9fa28f50,add_liquidity,2022-03-05 10:00:07,"(12000000000000, 1217094015089)"
4535196,STC::STC,FAI::FAI,0x2370df831df9220a9814f484893c97fe,add_liquidity,2022-03-05 10:00:28,"(20448707898840, 2074000000000)"
4535200,STC::STC,FAI::FAI,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 10:01:03,"(517133427817, 52450000000)"
4535202,STC::STC,FAI::FAI,0xc664acb6f912d8d2e4e19a965e385c63,add_liquidity,2022-03-05 10:01:22,"(49297752890166, 5000000000000)"
4535222,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,add_liquidity,2022-03-05 10:02:52,"(6901685404633, 700000000001)"
4535240,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,add_liquidity,2022-03-05 10:04:28,"(498724103753, 50534433580)"
4535240,STC::STC,FAI::FAI,0x0a6fbf3d68c68a0676e5ae90f180668a,add_liquidity,2022-03-05 10:04:28,"(3405460985812, 345066622410)"
4535247,STC::STC,FAI::FAI,0x298019b7255d997a73dc933a6b8ff514,add_liquidity,2022-03-05 10:04:42,"(986899562, 100000000)"
4535259,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 10:05:43,"(592139737311, 60000000000)"
4535280,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:07:38,"(59213973731, 6000000000)"
4535308,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,add_liquidity,2022-03-05 10:09:46,"(4504570213203, 452786411494)"
4535326,STC::STC,FAI::FAI,0xfaadbe019f379e850e5aceb4a68c4aaa,add_liquidity,2022-03-05 10:11:19,"(8438349138769, 848198528303)"
4535331,STC::STC,FAI::FAI,0x40a23a5490466de08ee93f1babe93a9d,add_liquidity,2022-03-05 10:11:49,"(3170999837108, 318739761872)"
4535339,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:12:53,"(20290473607701, 1969776316383)"
4535369,STC::STC,FAI::FAI,0xc664acb6f912d8d2e4e19a965e385c63,add_liquidity,2022-03-05 10:14:53,"(41206500100135, 4000280602000)"
4535385,STC::STC,FAI::FAI,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,add_liquidity,2022-03-05 10:15:59,"(411832509829, 39980236039)"
4535393,STC::STC,FAI::FAI,0x91ac0ee4f6421421b07cd0d0d9d0ca73,add_liquidity,2022-03-05 10:17:03,"(44304386981018, 4301019969980)"
4535399,STC::STC,FAI::FAI,0xe04f76149478e91c2f87a8fc71395de2,add_liquidity,2022-03-05 10:17:51,"(5158888646, 500000000)"
4535400,STC::STC,FAI::FAI,0xf77d889d6677bf38f23b5584c69d1c3f,add_liquidity,2022-03-05 10:17:56,"(997817327942, 96708554526)"
4535419,STC::STC,FAI::FAI,0xbfee7b54e271648e93eb23b4e71a4f50,add_liquidity,2022-03-05 10:18:57,"(21038039483499, 2039008876209)"
4535445,STC::STC,FAI::FAI,0x5d2b0cd44dd24ab3c4f490dad0f1189d,add_liquidity,2022-03-05 10:21:21,"(5004363627099, 481281890090)"
