sender,stake_amount,remedy_amount
0x6e9b83adaa64f901048ae4bead8a1016,95892333874,492597605.5171233
0x890c7d48c047d01dea2a06b9dd025032,7653307884983,39314937765.32363
0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,5000831564257,25689203241.046234
0x0744f9f0867b8a47873e3a871d182fd6,5000000000000,25684931506.849316
0x7720c55f855810085d25a95daf1305aa,2192870176454,11264744057.126713
0xce4149b80c11b71bac6f3d9ee22fc952,10945237351661,56225534340.72431
0x40a23a5490466de08ee93f1babe93a9d,30717340194754,157794555794.96918
0x4085ef7a265047f5f88045dc691349d1,31418362252485,161395696502.49142
0x2370df831df9220a9814f484893c97fe,135815482297825,697682272077.8682
0x6bf40816f188ba5a49c523d579d7442b,7653307884983,39314937765.32363
0xeef563ec3e3547425f8ed3caf923c577,10576113731897,54329351362.48459
0x9749fb17f65fe5f5b83ded7b69436582,104477533605560,536699658932.6712
0x5838b8241c7f85e8d1445ff0154366c3,7653307884983,39314937765.32363
0x5813cb31f8b9767403cb56da42ca0ea7,25945730270247,133282860977.29623
0xd290d389077f6ba404520cf2a40a6f46,7653307884983,39314937765.32363
0xc0f4f25c4b2f453f52d66f23e54f8a2f,7653307884983,39314937765.32363
0xe10d2a152e9cb36e1d4d4a5edbdc39eb,7653307884983,39314937765.32363
0x145667af479ac518c0ed88ac7188f5bb,7653307884983,39314937765.32363
0x298019b7255d997a73dc933a6b8ff514,4623622843,23751487.20719178
0xbfee7b54e271648e93eb23b4e71a4f50,66226155194881,340202852028.4983
0xe04f76149478e91c2f87a8fc71395de2,53000000000,272260273.9726027
0x96e199f07e3f563629038010824537c9,32537000000000,167142123287.67123
0xe8983a9f192f1777f0d0bae1d1deb0e3,49317998750861,253345883994.149
0x1653056a78c051ddcf797318ae64beef,24899335115,127907543.3989726
0x581367e9e962ee249fbd6e9ef3e0ff99,7600000000000,39041095890.41096
0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,1530000000000,7859589041.09589
0x5a5bdf7587386ed006fd17d375e54ce6,201592832772357,1035579620405.9435
0x26cceafbe90efbe454531e1bbda56989,74009434505128,380185451224.9726
0x35312da024d45453b7f79d052f1b83aa,551654270861,2833840432.505137
0x0a6fbf3d68c68a0676e5ae90f180668a,100017308795,513787545.17979455
0x535e864450f140b6ba4cebefc0827243,979655868606,5032478777.085616
0x5d2b0cd44dd24ab3c4f490dad0f1189d,5530000000000,28407534246.575344
0xf77d889d6677bf38f23b5584c69d1c3f,1730986456512,8892053714.958904
0x04335f23862c189069639a1bfe651399,2862843157435,14706386082.71404
0xa44004308188a371af871c32d3c93188,117248676797,602304846.5599315
0xe34fdec2d1dfc69064bb203b129818a3,22272660857609,114414353720.59418
0xb9c17e73f4d6eac8c88ba0f296fe4ce5,7653307884983,39314937765.32363
0xb01a3b6cd6a2beb1de4198e9c3f38ab4,3642926207795,18713662026.344177
0xd4aebcce7cbac2c6823c073e4aaa5450,1017161667466,5225145552.05137
0x4d676da54966d8f7c6c976df744c7472,4515054134450,23193771238.613014
0x236e3246c470de88dcf2657579d0ad60,13559000000000,69652397260.27397
0x6b1a630efa3620b1983032313e40d7bb,209761243197234,1077540632862.5034
0xe6518350bdca03bf8bf463b76936981b,100000000000,513698630.1369863
0xa86c0fdd86072f8a4a36c1eb756defec,2773555762127,14247717956.13185
0x44bc6adfdc1f718ed2014699b239f035,5453923288500,28016729221.746574
0xbb0604f4cae35139dbc4789d3fb98403,130106234044,668353942.0068493
0x288b1c32870b9478c2613576f28842ac,206695001056,1061789388.9863014
0xb1f940f2b8171c0b44dee9e2534e753f,16265003165775,83553098454.32362
0x49d57f18095a3efab174a2ccbc225d14,4126422160931,21197374114.371574
0xe8c1b784696130e121fa956caff0ace0,40000000000,205479452.05479452
0xbd36e5eff5b7840b4643d81db05409b0,508348053056,2611376984.8767123
0xb87b11e72aaf8386d46052c371bb0455,47694026668252,245003561651.97946
0xc2d50b7909392faa2a7b353675ce8ad9,11622903444414,59706695776.09931
0xa2cc5860ce18bfa077a89a3c9b237b6a,2438918573290,12528691301.14726
0x0832ec2553244fe9607135d2d5e78d28,2767219344668,14215167866.445206
0x2c58cace2f326c8f833aa4d072ebebc3,15306923654949,78631457131.58733
0x500ce92aafc82117f76d98a6a3d558ac,137606475772,706882581.020548
