block_num,sender,opt,opt_time,token_x,token_y,amount
4534899,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:00,STC::STC,FAI::FAI,10 
4534934,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:00,STC::STC,FAI::FAI,1 
4535111,0x5e3596e11c09fb16790e8310d8e3bff1,stake,2022-03-05 09:53:00,STC::STC,FAI::FAI,322212615425 
4535114,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 09:53:00,STC::STC,FAI::FAI,10737451021 
4535138,0x8769fe40ff8c86661e1a47b88017e7c5,stake,2022-03-05 09:55:00,STC::STC,FAI::FAI,2058320834633 
4535145,0x3b990f9b6f9e6175e9f9535f9fa28f50,stake,2022-03-05 09:56:00,STC::STC,FAI::FAI,930992863356 
4535147,0x0d735c4ba0f540cbb287312f3e137596,stake,2022-03-05 09:56:00,STC::STC,FAI::FAI,324749563296 
4535161,0x5e3596e11c09fb16790e8310d8e3bff1,stake,2022-03-05 09:57:00,STC::STC,FAI::FAI,5237416817609 
4535163,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 09:57:00,STC::STC,FAI::FAI,1762479535121 
4535168,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 09:58:00,STC::STC,FAI::FAI,3543358837945 
4535194,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 10:00:00,STC::STC,FAI::FAI,1085323836357 
4535198,0x3b990f9b6f9e6175e9f9535f9fa28f50,stake,2022-03-05 10:00:00,STC::STC,FAI::FAI,3821000000000 
4535199,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 10:00:00,STC::STC,FAI::FAI,6512006077573 
4535202,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:01:00,STC::STC,FAI::FAI,164684049547 
4535212,0xc664acb6f912d8d2e4e19a965e385c63,stake,2022-03-05 10:01:00,STC::STC,FAI::FAI,15698705684696 
4535233,0x8769fe40ff8c86661e1a47b88017e7c5,stake,2022-03-05 10:03:00,STC::STC,FAI::FAI,2197818795860 
4535247,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:04:00,STC::STC,FAI::FAI,1083968486189 
4535252,0x08bf0cd79c484514cca26af5277f2310,stake,2022-03-05 10:05:00,STC::STC,FAI::FAI,158745383962 
4535291,0xe04f76149478e91c2f87a8fc71395de2,stake,2022-03-05 10:08:00,STC::STC,FAI::FAI,18000000000 
