block_num,sender,opt,opt_time,token_x,token_y,amount
4538307,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 14:21:25,STC::STC,STAR::STAR,30
4538309,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 14:21:32,STC::STC,FAI::FAI,10
4538606,0x14cc2bd5ca969a3b43375bfeb54b51c2,stake,2022-03-05 14:46:20,STC::STC,STAR::STAR,216630542387
4538627,0x2370df831df9220a9814f484893c97fe,unstake,2022-03-05 14:48:03,STC::STC,FAI::FAI,6512006077573
4538635,0x14cc2bd5ca969a3b43375bfeb54b51c2,unstake,2022-03-05 14:49:00,STC::STC,STAR::STAR,216630542387
4538658,0x8da6ffcecb172829ed8b32667dbe9441,stake,2022-03-05 14:50:36,STC::STC,STAR::STAR,14084309860
4538694,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 14:53:49,STC::STC,STAR::STAR,64753962325837
4538721,0x8da6ffcecb172829ed8b32667dbe9441,stake,2022-03-05 14:56:35,STC::STC,FAI::FAI,1765717931
4538879,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 15:09:36,STC::STC,STAR::STAR,30488332000848
4538902,0x8da6ffcecb172829ed8b32667dbe9441,stake,2022-03-05 15:11:08,STC::STC,STAR::STAR,87053700000
4538979,0xc2994c093ae3d677365247bacf1be62e,stake,2022-03-05 15:18:12,STC::STC,FAI::FAI,1799135965304
4537004,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:31:56,STC::STC,STAR::STAR,9636275383
4537005,0x5d2b0cd44dd24ab3c4f490dad0f1189d,unstake,2022-03-05 12:32:12,STC::STC,FAI::FAI,1551805574609
4537005,0xa2cc5860ce18bfa077a89a3c9b237b6a,stake,2022-03-05 12:32:12,STC::STC,STAR::STAR,1130648785065
4537096,0x0832ec2553244fe9607135d2d5e78d28,stake,2022-03-05 12:39:39,STC::STC,STAR::STAR,1284450322596
4537103,0x0a6fbf3d68c68a0676e5ae90f180668a,unstake,2022-03-05 12:40:17,STC::STC,FAI::FAI,1248652535736
4537121,0x0a6fbf3d68c68a0676e5ae90f180668a,unstake,2022-03-05 12:41:38,STC::STC,STAR::STAR,42437388183
4537367,0xfaadbe019f379e850e5aceb4a68c4aaa,harvest,2022-03-05 13:02:36,STC::STC,FAI::FAI,2341407490
4537368,0xfaadbe019f379e850e5aceb4a68c4aaa,unstake,2022-03-05 13:02:39,STC::STC,FAI::FAI,2675177166540
4537377,0xfaadbe019f379e850e5aceb4a68c4aaa,stake,2022-03-05 13:03:10,STC::STC,FAI::FAI,2675177166540
4537404,0xfaadbe019f379e850e5aceb4a68c4aaa,unstake,2022-03-05 13:05:36,STC::STC,FAI::FAI,2675177166540
4537592,0x2c58cace2f326c8f833aa4d072ebebc3,stake,2022-03-05 13:21:34,STC::STC,STAR::STAR,7097360699837
4537698,0x500ce92aafc82117f76d98a6a3d558ac,stake,2022-03-05 13:30:22,STC::STC,STAR::STAR,63803989304
4537827,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 13:41:11,STC::STC,FAI::FAI,15376927047
4537830,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 13:41:48,STC::STC,STAR::STAR,13404969267
4539126,0x8da6ffcecb172829ed8b32667dbe9441,stake,2022-03-05 15:29:42,STC::STC,STAR::STAR,12870791994
4539132,0x9749fb17f65fe5f5b83ded7b69436582,harvest,2022-03-05 15:30:27,STC::STC,STAR::STAR,269280203959
4539141,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 15:31:16,STC::STC,STAR::STAR,135663247486
