block_num,sender,opt,opt_time,token_x,token_y,amount
4534896,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 09:34:54,STC::STC,STAR::STAR,30 
4534930,0x8c109349c6bd91411d6bc962e080c4a3,activation,2022-03-05 09:37:39,STC::STC,STAR::STAR,1 
4535009,0x6e9b83adaa64f901048ae4bead8a1016,stake,2022-03-05 09:44:23,STC::STC,STAR::STAR,30907123035 
4535012,0xc2d50b7909392faa2a7b353675ce8ad9,stake,2022-03-05 09:44:37,STC::STC,STAR::STAR,6272130008739 
4535138,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,stake,2022-03-05 09:55:32,STC::STC,STAR::STAR,2384135082076 
4535140,0x890c7d48c047d01dea2a06b9dd025032,stake,2022-03-05 09:55:50,STC::STC,STAR::STAR,3635692971270 
4535141,0x0744f9f0867b8a47873e3a871d182fd6,stake,2022-03-05 09:55:53,STC::STC,STAR::STAR,2375342957162 
4535143,0x7720c55f855810085d25a95daf1305aa,stake,2022-03-05 09:56:04,STC::STC,STAR::STAR,1033002493426 
4535151,0xce4149b80c11b71bac6f3d9ee22fc952,stake,2022-03-05 09:56:41,STC::STC,STAR::STAR,5161217998621 
4535151,0x40a23a5490466de08ee93f1babe93a9d,stake,2022-03-05 09:56:41,STC::STC,STAR::STAR,14484737424071 
4535162,0x4085ef7a265047f5f88045dc691349d1,stake,2022-03-05 09:57:27,STC::STC,STAR::STAR,14815303819807 
4535163,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 09:57:43,STC::STC,STAR::STAR,24370540583464 
4535168,0xeef563ec3e3547425f8ed3caf923c577,stake,2022-03-05 09:58:17,STC::STC,STAR::STAR,5238315464089 
4535172,0x5813cb31f8b9767403cb56da42ca0ea7,stake,2022-03-05 09:58:36,STC::STC,STAR::STAR,13064754722372 
4535172,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 09:58:36,STC::STC,STAR::STAR,3790659032384 
4535176,0xd290d389077f6ba404520cf2a40a6f46,stake,2022-03-05 09:58:49,STC::STC,STAR::STAR,3850668236756 
4535179,0x6bf40816f188ba5a49c523d579d7442b,stake,2022-03-05 09:59:11,STC::STC,STAR::STAR,3790659032384 
4535180,0x5838b8241c7f85e8d1445ff0154366c3,stake,2022-03-05 09:59:27,STC::STC,STAR::STAR,3790659032384 
4535191,0xc0f4f25c4b2f453f52d66f23e54f8a2f,stake,2022-03-05 10:00:07,STC::STC,STAR::STAR,3701051396602 
4535199,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,stake,2022-03-05 10:00:58,STC::STC,STAR::STAR,3691515431227 
4535202,0x7720c55f855810085d25a95daf1305aa,unstake,2022-03-05 10:01:22,STC::STC,STAR::STAR,1033002493426 
4535208,0x5813cb31f8b9767403cb56da42ca0ea7,unstake,2022-03-05 10:01:39,STC::STC,STAR::STAR,13064754722372 
4535212,0x145667af479ac518c0ed88ac7188f5bb,stake,2022-03-05 10:01:56,STC::STC,STAR::STAR,3554935834538 
4535219,0xbfee7b54e271648e93eb23b4e71a4f50,stake,2022-03-05 10:02:39,STC::STC,STAR::STAR,30688505052562 
4535227,0x40a23a5490466de08ee93f1babe93a9d,unstake,2022-03-05 10:03:18,STC::STC,STAR::STAR,14484737424071 
4535228,0xe04f76149478e91c2f87a8fc71395de2,stake,2022-03-05 10:03:27,STC::STC,STAR::STAR,20000000000 
4535228,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:03:27,STC::STC,STAR::STAR,1268200885665 
4535241,0x0744f9f0867b8a47873e3a871d182fd6,unstake,2022-03-05 10:04:30,STC::STC,STAR::STAR,2375342957162 
4535260,0xeef563ec3e3547425f8ed3caf923c577,unstake,2022-03-05 10:05:52,STC::STC,STAR::STAR,5238315464089 
4535279,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:07:21,STC::STC,STAR::STAR,17027372253316 
4535296,0xe8983a9f192f1777f0d0bae1d1deb0e3,stake,2022-03-05 10:09:00,STC::STC,STAR::STAR,3023902053879 
4535315,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,stake,2022-03-05 10:10:04,STC::STC,STAR::STAR,655531757208 
4535332,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 10:11:53,STC::STC,STAR::STAR,1800000000000 
4535333,0x1a2ecc6dc8dd51fa0ff56f8bcb3f8971,unstake,2022-03-05 10:12:04,STC::STC,STAR::STAR,2384135082076 
4535334,0x581367e9e962ee249fbd6e9ef3e0ff99,stake,2022-03-05 10:12:18,STC::STC,STAR::STAR,3273162399159 
4535350,0x35312da024d45453b7f79d052f1b83aa,stake,2022-03-05 10:13:31,STC::STC,STAR::STAR,4256456285 
4535357,0x0a6fbf3d68c68a0676e5ae90f180668a,stake,2022-03-05 10:13:56,STC::STC,STAR::STAR,42437388183 
4535385,0x96e199f07e3f563629038010824537c9,stake,2022-03-05 10:15:59,STC::STC,STAR::STAR,14813358323620 
4535385,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 10:15:59,STC::STC,STAR::STAR,53000000000 
4535407,0x5d2b0cd44dd24ab3c4f490dad0f1189d,stake,2022-03-05 10:18:17,STC::STC,STAR::STAR,2326991070115 
4535415,0x535e864450f140b6ba4cebefc0827243,stake,2022-03-05 10:18:45,STC::STC,STAR::STAR,414523357180 
4535435,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:20:39,STC::STC,STAR::STAR,4755323113 
4535438,0xf77d889d6677bf38f23b5584c69d1c3f,stake,2022-03-05 10:20:53,STC::STC,STAR::STAR,742426624314 
4535441,0x35312da024d45453b7f79d052f1b83aa,stake,2022-03-05 10:21:02,STC::STC,STAR::STAR,232317561091 
4535465,0x26cceafbe90efbe454531e1bbda56989,stake,2022-03-05 10:23:14,STC::STC,STAR::STAR,31519531648172 
4535496,0x5d2b0cd44dd24ab3c4f490dad0f1189d,stake,2022-03-05 10:25:46,STC::STC,STAR::STAR,8629759675 
4535524,0x04335f23862c189069639a1bfe651399,stake,2022-03-05 10:27:49,STC::STC,STAR::STAR,1233366135085 
4535576,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:32:20,STC::STC,STAR::STAR,2400134285 
4535577,0xa44004308188a371af871c32d3c93188,stake,2022-03-05 10:32:29,STC::STC,STAR::STAR,50512912999 
4535638,0x04335f23862c189069639a1bfe651399,unstake,2022-03-05 10:37:29,STC::STC,STAR::STAR,1233366135085 
4535668,0x9749fb17f65fe5f5b83ded7b69436582,stake,2022-03-05 10:39:51,STC::STC,STAR::STAR,45123695987089 
4535704,0xe34fdec2d1dfc69064bb203b129818a3,stake,2022-03-05 10:42:48,STC::STC,STAR::STAR,2117723612902 
4535747,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:46:40,STC::STC,STAR::STAR,2576895119 
4535751,0xe34fdec2d1dfc69064bb203b129818a3,stake,2022-03-05 10:47:02,STC::STC,STAR::STAR,8447256448120 
4535760,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,stake,2022-03-05 10:47:49,STC::STC,STAR::STAR,3600736869272 
4535814,0xb01a3b6cd6a2beb1de4198e9c3f38ab4,stake,2022-03-05 10:52:29,STC::STC,STAR::STAR,1727522286912 
4535832,0xd4aebcce7cbac2c6823c073e4aaa5450,stake,2022-03-05 10:53:42,STC::STC,STAR::STAR,482901546817 
4535839,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 10:54:02,STC::STC,STAR::STAR,1109054128 
4535868,0x4d676da54966d8f7c6c976df744c7472,stake,2022-03-05 10:57:13,STC::STC,STAR::STAR,198531071721 
4535896,0x2370df831df9220a9814f484893c97fe,stake,2022-03-05 10:59:12,STC::STC,STAR::STAR,42525179119132 
4535934,0x236e3246c470de88dcf2657579d0ad60,stake,2022-03-05 11:02:37,STC::STC,STAR::STAR,6654596269576 
4535974,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 11:05:39,STC::STC,STAR::STAR,1571123441 
4536003,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,unstake,2022-03-05 11:08:20,STC::STC,STAR::STAR,3600736869272 
4536067,0xe6518350bdca03bf8bf463b76936981b,stake,2022-03-05 11:13:38,STC::STC,STAR::STAR,57256213808 
4536091,0x4d676da54966d8f7c6c976df744c7472,stake,2022-03-05 11:15:41,STC::STC,STAR::STAR,2521717171920 
4536190,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,harvest,2022-03-05 11:23:32,STC::STC,STAR::STAR,266387258 
4536228,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 11:26:52,STC::STC,STAR::STAR,96569000000000 
4536278,0xbb0604f4cae35139dbc4789d3fb98403,stake,2022-03-05 11:31:07,STC::STC,STAR::STAR,63817903035 
4536286,0x6b1a630efa3620b1983032313e40d7bb,stake,2022-03-05 11:31:53,STC::STC,STAR::STAR,119949928005059 
4536306,0x44bc6adfdc1f718ed2014699b239f035,stake,2022-03-05 11:33:29,STC::STC,STAR::STAR,2675571281941 
4536317,0x5a5bdf7587386ed006fd17d375e54ce6,unstake,2022-03-05 11:34:23,STC::STC,STAR::STAR,98422000000000 
4536326,0x288b1c32870b9478c2613576f28842ac,stake,2022-03-05 11:35:09,STC::STC,STAR::STAR,101357226231 
4536333,0x5a5bdf7587386ed006fd17d375e54ce6,stake,2022-03-05 11:35:40,STC::STC,STAR::STAR,98422000000000 
4536348,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:36:51,STC::STC,STAR::STAR,130175129081 
4536368,0xa86c0fdd86072f8a4a36c1eb756defec,stake,2022-03-05 11:38:34,STC::STC,STAR::STAR,1360320174692 
4536419,0x49d57f18095a3efab174a2ccbc225d14,stake,2022-03-05 11:42:59,STC::STC,STAR::STAR,2027074822716 
4536453,0x890c7d48c047d01dea2a06b9dd025032,harvest,2022-03-05 11:45:32,STC::STC,STAR::STAR,2533831391 
4536479,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:47:23,STC::STC,STAR::STAR,491242714306 
4536488,0xe8c1b784696130e121fa956caff0ace0,stake,2022-03-05 11:48:04,STC::STC,STAR::STAR,10000000000 
4536511,0xb1f940f2b8171c0b44dee9e2534e753f,stake,2022-03-05 11:50:38,STC::STC,STAR::STAR,7419074068062 
4536565,0x5a5bdf7587386ed006fd17d375e54ce6,unstake,2022-03-05 11:55:12,STC::STC,STAR::STAR,98422000000000 
4536787,0x5d2b0cd44dd24ab3c4f490dad0f1189d,harvest,2022-03-05 12:13:28,STC::STC,STAR::STAR,972235028 
4536839,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:18:02,STC::STC,STAR::STAR,9598184062 
4536840,0xb87b11e72aaf8386d46052c371bb0455,stake,2022-03-05 12:18:16,STC::STC,STAR::STAR,21990493485889 
4536870,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:21:10,STC::STC,STAR::STAR,215249795719 
4536934,0xc2d50b7909392faa2a7b353675ce8ad9,harvest,2022-03-05 12:26:22,STC::STC,STAR::STAR,18338760285 
4536947,0xc2d50b7909392faa2a7b353675ce8ad9,stake,2022-03-05 12:27:09,STC::STC,STAR::STAR,5388216647446 
4536985,0x5d2b0cd44dd24ab3c4f490dad0f1189d,harvest,2022-03-05 12:29:59,STC::STC,STAR::STAR,102435243 
4536993,0xbd36e5eff5b7840b4643d81db05409b0,harvest,2022-03-05 12:30:59,STC::STC,STAR::STAR,5635414 
4537004,0xbd36e5eff5b7840b4643d81db05409b0,stake,2022-03-05 12:31:56,STC::STC,STAR::STAR,9636275383 
4537005,0xa2cc5860ce18bfa077a89a3c9b237b6a,stake,2022-03-05 12:32:12,STC::STC,STAR::STAR,1130648785065 
4537096,0x0832ec2553244fe9607135d2d5e78d28,stake,2022-03-05 12:39:39,STC::STC,STAR::STAR,1284450322596 
4537121,0x0a6fbf3d68c68a0676e5ae90f180668a,unstake,2022-03-05 12:41:38,STC::STC,STAR::STAR,42437388183 
4537592,0x2c58cace2f326c8f833aa4d072ebebc3,stake,2022-03-05 13:21:34,STC::STC,STAR::STAR,7097360699837 
4537698,0x500ce92aafc82117f76d98a6a3d558ac,stake,2022-03-05 13:30:22,STC::STC,STAR::STAR,63803989304 
4537830,0xbfee7b54e271648e93eb23b4e71a4f50,harvest,2022-03-05 13:41:48,STC::STC,STAR::STAR,13404969267 
4538307,0x8c109349c6bd91411d6bc962e080c4a3,multiplier,2022-03-05 14:21:25,STC::STC,STAR::STAR,30 
